CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 32
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 1024
Total number of blocks: 1024
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       38.028;     3446.723;        0.002; 65536000.000;       38.030;     3446.542;
    131072;       37.205;     3522.967;        0.002; 65536000.000;       37.207;     3522.778;
    131072;       43.919;     2984.403;        0.002; 65536000.000;       43.921;     2984.267;
    131072;       49.694;     2637.582;        0.002; 65536000.000;       49.696;     2637.476;
    131072;       38.710;     3385.998;        0.002; 65536000.000;       38.712;     3385.824;
    131072;       38.699;     3386.961;        0.002; 65536000.000;       38.701;     3386.786;
    131072;       51.314;     2554.313;        0.002; 65536000.000;       51.316;     2554.213;
    131072;       43.357;     3023.087;        0.002; 65536000.000;       43.359;     3022.948;
    131072;       37.210;     3522.494;        0.002; 65536000.000;       37.212;     3522.305;
    131072;       37.210;     3522.494;        0.002; 65536000.000;       37.212;     3522.305;
    131072;       51.590;     2540.647;        0.002; 65536000.000;       51.592;     2540.549;
    131072;       44.538;     2942.925;        0.002; 65536000.000;       44.540;     2942.793;
    131072;       39.192;     3344.356;        0.002; 65536000.000;       39.194;     3344.185;
    131072;       38.689;     3387.836;        0.002; 65536000.000;       38.691;     3387.661;
    131072;       51.163;     2561.851;        0.002; 65536000.000;       51.165;     2561.751;
    131072;       50.926;     2573.774;        0.002; 65536000.000;       50.928;     2573.673;
    131072;       37.193;     3524.104;        0.002; 65536000.000;       37.195;     3523.915;
    131072;       37.214;     3522.115;        0.002; 65536000.000;       37.216;     3521.926;
    131072;       51.593;     2540.500;        0.002; 65536000.000;       51.595;     2540.401;
    131072;       51.584;     2540.943;        0.002; 65536000.000;       51.586;     2540.844;
    131072;       39.413;     3325.603;        0.002; 65536000.000;       39.415;     3325.434;
    131072;       39.441;     3323.242;        0.002; 65536000.000;       39.443;     3323.074;
    131072;       51.530;     2543.606;        0.002; 65536000.000;       51.532;     2543.507;
    131072;       50.797;     2580.310;        0.002; 65536000.000;       50.799;     2580.208;
    131072;       37.191;     3524.294;        0.002; 65536000.000;       37.193;     3524.104;
    131072;       37.881;     3460.099;        0.002; 65536000.000;       37.883;     3459.916;
    131072;       52.343;     2504.098;        0.002; 65536000.000;       52.345;     2504.002;
    131072;       51.608;     2539.761;        0.002; 65536000.000;       51.610;     2539.663;
    131072;       38.704;     3386.523;        0.002; 65536000.000;       38.706;     3386.348;
    131072;       39.655;     3305.308;        0.002; 65536000.000;       39.657;     3305.142;
    131072;       51.774;     2531.618;        0.002; 65536000.000;       51.776;     2531.520;
    131072;      104.117;     1258.891;        0.002; 65536000.000;      104.119;     1258.867;
Event time elapsed    : 2747.392 µs
Estimated bandwidth   : 1526.649 MiB/s
