CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 32
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 1024
Total number of blocks: 1024
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       37.888;     3459.459;        3.072;    42666.667;       40.960;     3200.000;
    131072;       37.888;     3459.459;        2.048;    64000.000;       39.936;     3282.051;
    131072;       43.008;     3047.619;        2.048;    64000.000;       45.056;     2909.091;
    131072;       50.176;     2612.245;        2.048;    64000.000;       52.224;     2509.804;
    131072;       38.912;     3368.421;        2.048;    64000.000;       40.960;     3200.000;
    131072;       38.912;     3368.421;        2.048;    64000.000;       40.960;     3200.000;
    131072;       50.176;     2612.245;        2.048;    64000.000;       52.224;     2509.804;
    131072;       44.032;     2976.744;        2.048;    64000.000;       46.080;     2844.444;
    131072;       36.864;     3555.556;        2.048;    64000.000;       38.912;     3368.421;
    131072;       37.888;     3459.459;        2.048;    64000.000;       39.936;     3282.051;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       44.032;     2976.744;        2.048;    64000.000;       46.080;     2844.444;
    131072;       38.912;     3368.421;        2.048;    64000.000;       40.960;     3200.000;
    131072;       38.912;     3368.421;        2.048;    64000.000;       40.960;     3200.000;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       50.176;     2612.245;        3.072;    42666.667;       53.248;     2461.538;
    131072;       37.888;     3459.459;        2.048;    64000.000;       39.936;     3282.051;
    131072;       37.888;     3459.459;        2.048;    64000.000;       39.936;     3282.051;
    131072;       50.176;     2612.245;        3.072;    42666.667;       53.248;     2461.538;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       37.888;     3459.459;        3.072;    42666.667;       40.960;     3200.000;
    131072;       38.912;     3368.421;        3.072;    42666.667;       41.984;     3121.951;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       37.888;     3459.459;        2.048;    64000.000;       39.936;     3282.051;
    131072;       36.864;     3555.556;        3.072;    42666.667;       39.936;     3282.051;
    131072;       52.224;     2509.804;        2.048;    64000.000;       54.272;     2415.094;
    131072;       51.200;     2560.000;        2.048;    64000.000;       53.248;     2461.538;
    131072;       39.936;     3282.051;        2.048;    64000.000;       41.984;     3121.951;
    131072;       38.912;     3368.421;        2.048;    64000.000;       40.960;     3200.000;
    131072;       50.176;     2612.245;        2.048;    64000.000;       52.224;     2509.804;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
Event time elapsed    : 2758.656 µs
Estimated bandwidth   : 1520.416 MiB/s
