CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 32
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 2048
Total number of blocks: 2048
Double buffering      : no
NVMe controller number of submission queues = 135
NVMe controller number of completion queues = 135
Launching kernel with 64 threads
hostTimes[0]: 0x7f95e7003000
hostTimes[1]: 0x7f95e7003800
QP count: 0
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       53.248;     2461.538;        0.000;          inf;       53.248;     2461.538;
    131072;       56.320;     2327.273;        0.000;          inf;       56.320;     2327.273;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       51.200;     2560.000;        0.000;          inf;       51.200;     2560.000;
    131072;       55.296;     2370.370;        0.000;          inf;       55.296;     2370.370;
    131072;       39.936;     3282.051;        0.000;          inf;       39.936;     3282.051;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       52.224;     2509.804;        0.000;          inf;       52.224;     2509.804;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       53.248;     2461.538;        0.000;          inf;       53.248;     2461.538;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       54.272;     2415.094;        0.000;          inf;       54.272;     2415.094;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       51.200;     2560.000;        0.000;          inf;       51.200;     2560.000;
    131072;       51.200;     2560.000;        0.000;          inf;       51.200;     2560.000;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       53.248;     2461.538;        0.000;          inf;       53.248;     2461.538;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       52.224;     2509.804;        0.000;          inf;       52.224;     2509.804;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       52.224;     2509.804;        0.000;          inf;       52.224;     2509.804;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
QP count: 1
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       62.464;     2098.361;        0.000;          inf;       62.464;     2098.361;
    131072;       54.272;     2415.094;        0.000;          inf;       54.272;     2415.094;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       60.416;     2169.492;        0.000;          inf;       60.416;     2169.492;
    131072;       53.248;     2461.538;        0.000;          inf;       53.248;     2461.538;
    131072;       53.248;     2461.538;        0.000;          inf;       53.248;     2461.538;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       60.416;     2169.492;        0.000;          inf;       60.416;     2169.492;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       47.104;     2782.609;        0.000;          inf;       47.104;     2782.609;
    131072;       54.272;     2415.094;        0.000;          inf;       54.272;     2415.094;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       55.296;     2370.370;        0.000;          inf;       55.296;     2370.370;
    131072;       49.152;     2666.667;        0.000;          inf;       49.152;     2666.667;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       52.224;     2509.804;        0.000;          inf;       52.224;     2509.804;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       51.200;     2560.000;        0.000;          inf;       51.200;     2560.000;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       38.912;     3368.421;        0.000;          inf;       38.912;     3368.421;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       50.176;     2612.245;        0.000;          inf;       50.176;     2612.245;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
    131072;       48.128;     2723.404;        0.000;          inf;       48.128;     2723.404;
Event time elapsed    : 3076.096 µs
Estimated bandwidth   : 2727.031 MiB/s
