CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 32
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 4096
Total number of blocks: 4096
Double buffering      : no
NVMe controller number of submission queues = 135
NVMe controller number of completion queues = 135
Launching kernel with 128 threads
hostTimes[0]: 0x7f56b3003000
hostTimes[1]: 0x7f56b3003800
hostTimes[2]: 0x7f56b3004000
hostTimes[3]: 0x7f56b3004800
QP count: 0
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       91.136;     1438.202;        0.000;          inf;       91.136;     1438.202;
    131072;       95.232;     1376.344;        0.000;          inf;       95.232;     1376.344;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
QP count: 1
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       91.136;     1438.202;        0.000;          inf;       91.136;     1438.202;
    131072;       96.256;     1361.702;        0.000;          inf;       96.256;     1361.702;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
QP count: 2
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       86.016;     1523.810;        0.000;          inf;       86.016;     1523.810;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        1.024;   128000.000;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       94.208;     1391.304;        0.000;          inf;       94.208;     1391.304;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
QP count: 3
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       90.112;     1454.545;        0.000;          inf;       90.112;     1454.545;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       89.088;     1471.264;        0.000;          inf;       89.088;     1471.264;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
    131072;       87.040;     1505.882;        0.000;          inf;       87.040;     1505.882;
    131072;       88.064;     1488.372;        0.000;          inf;       88.064;     1488.372;
