CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 8
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 256
Total number of blocks: 256
Double buffering      : no
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
     32768;       15.360;     2133.333;        0.000;          inf;       15.360;     2133.333;
     32768;       15.360;     2133.333;        0.000;          inf;       15.360;     2133.333;
     32768;       15.360;     2133.333;        0.000;          inf;       15.360;     2133.333;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       15.360;     2133.333;        0.000;          inf;       15.360;     2133.333;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       18.432;     1777.778;        0.000;          inf;       18.432;     1777.778;
     32768;       13.312;     2461.538;        0.000;          inf;       13.312;     2461.538;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       13.312;     2461.538;        0.000;          inf;       13.312;     2461.538;
     32768;       14.336;     2285.714;        0.000;          inf;       14.336;     2285.714;
     32768;       18.432;     1777.778;        0.000;          inf;       18.432;     1777.778;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
     32768;       16.384;     2000.000;        0.000;          inf;       16.384;     2000.000;
     32768;       15.360;     2133.333;        0.000;          inf;       15.360;     2133.333;
     32768;       16.384;     2000.000;        0.000;          inf;       16.384;     2000.000;
     32768;       17.408;     1882.353;        0.000;          inf;       17.408;     1882.353;
Event time elapsed    : 1901.568 µs
Estimated bandwidth   : 551.427 MiB/s
